Project,Techstack,Description,Link
"Technical Skills Profile","Python, C++, C, Java, JavaScript, TypeScript, React.js, Next.js, Node.js, Flask, FastAPI, AWS, Azure, Docker, CI/CD, Git, PostgreSQL, MySQL, MongoDB, TensorFlow, Spark, Pandas, Matplotlib, Tableau","Comprehensive technical expertise in Full Stack Development, Cloud Computing (AWS/Azure), DevOps, and Data Science.", "https://jemil-portfolio.vercel.app/"
"XR Technical Intern - Arizona State University","Unity, C#, Meta Quest, XR Toolkit, Coda, Asana","Developed XR scene clarity using Synthetic Team Training Simulation. Scripted dynamic headset height logic and synchronized dialogue timelines. Transformed a desktop Pre-Veterinary simulation into a fully immersive VR experience.","https://jemil-portfolio.vercel.app/"
"Data & Web Engineering Intern - Aasma Technology","React.js, Node.js, Contentful, Firebase, GitHub, CI/CD, Agile, Azure","Designed a responsive 10+ page website, optimizing with Contentful to reduce load times by 35%. Integrated APIs reducing latency by 30%. Adhered to Agile SDLC.","https://aasmatech.com/"
"Software Development Intern - Capgemini","Python, Flask, Node.js, AWS Lambda, HL7, ABHA APIs","Constructed a Python-Flask library for 20+ ABHA APIs, reducing integration time by 30%. Built a wrapper class linking Registration and Verification APIs. Unified Node.js and Python backends.","https://jemil-portfolio.vercel.app/"
"Teaching Aide (Physics) - Arizona State University","Python, PowerBI, Data Analysis, Canvas","Managed lab operations and resolved technical issues. Analyzed 500+ lab reports using data-driven insights to enhance lab performance by 25%.","https://jemil-portfolio.vercel.app/"
"GenAI Cold Email Generator","LangChain, Groq, ChromaDB, Python, RAG, LLM","Conceived and deployed a generative AI system to automate personalized email creation by scraping job descriptions. Achieved 80% reduction in drafting time using RAG-based semantic retrieval.","https://jemil-portfolio.vercel.app/"
"Cloud-Based ETL Pipeline","AWS, Apache Airflow, EC2, Glue, Redshift","Built a cloud-based ETL pipeline extracting weather data to S3. Transformed data using AWS Glue and loaded into Redshift for SQL-based forecasting, improving KPI tracking by 40%.","#"
"ASU-ccessful Match (Zoom Campus Spark)","Zoom API, Python, Data Analysis","Developed a peer-learning platform leveraging Zoom API for virtual study sessions. Engineered expert eligibility feature using Zoom Poll API.","https://jemil-portfolio.vercel.app/"
"Satellite Image Segmentation","U-Net, ResNet18, Python, Deep Learning, Computer Vision","Segmented and classified solar panel regions from PV satellite imagery using deep learning models, achieving high Dice score and accuracy.","https://colab.research.google.com/drive/1hTUcIoFO_h4lJJdk7xFUoK2EcVP2qOzs#scrollTo=5RN8Vr8TiTAY"
"EDM Surface Inspection","KNN, Machine Learning, Python","Predicted surface roughness of EDM materials using KNN regression with high R² and low MSE.","https://link.springer.com/chapter/10.1007/978-981-97-3173-2_11"
"CPU Scheduling Simulator","JavaScript, HTML, CSS","Created an interactive CPU scheduling visualizer with Gantt chart support and process metric calculations.","https://jeminbutani.github.io/CpuScheduling/"
"Role-based Auth + Payments","MongoDB, Mongoose, Node.js, Stripe","Built a role-based authentication system with Stripe payments, enhancing backend scalability and security.","https://github.com/Jem1D/Online_Shop_NodeJS"
"Food Delivery Data Analysis","Python, Pandas, Seaborn, Matplotlib","Performed EDA on food delivery data to identify delivery patterns, optimize delivery time, and derive business insights.","https://github.com/Jem1D/Food_delivery_analysis"
